id	reference_en	reference_nan_tc	reference_nan_poj
1	Welcome	歡迎光臨	hoan-gêng kong-lîm
2	Hello	你好	lí-hó
3	Have you eaten?	你食飽未？	lí chia̍h pá bōe
4	I am full	食飽矣	Chia̍h pá-ah
5	How are you?	你好無?	lí hó-bò
6	(I'm) fine, thanks, and you?	(我) 真好，多謝，你呢？	(Góa) chin-hó, to-siā, lí-neh?
7	(I'm) not bad, thanks, and you?	(我) 袂䆀，多謝，你呢？	(Góa) bē-bái, to-siā, lí-neh?
8	Long time no see	真久無看你	chin-kú bô khòaⁿ lí
9	Excuse me, what's your name?	請問，你貴姓？	chhiáⁿ-mn̄g, lí kùi-sèⁿ?
10	What's your name?	你叫啥物名？	lí kiò sáⁿ-mih miâ?
11	My name is ...	我姓 ...	góa sèⁿ ...
12	Where are you from?	你是佗位的人？	lí sī tó-ūi ê lâng?
13	I'm from ...	我是...人	góa sī ...lâng
14	Pleased to meet you	我真歡喜佮你熟似	Góa chin hoaⁿ-hí kah lí se̍k-sāi
15	Good morning	𠢕早	gâu-chá
16	Good afternoon	午安 	gō-an
17	Good evening	暗安 	àm-an
18	Good night	暗安 	àm-an
19	Goodbye	再見	chài-kiàn
20	Good luck!	好運 	hó-ūn
21	Cheers!	乾杯!	kan poe!
22	Have a nice day	祝你今仔日真好的日子	chiok lí kin á ji̍t chin hó ê ji̍t chí
23	Bon appetit	食福	chia̍h hok
24	Bon voyage	順行	sūn-kiâⁿ
25	Do you understand?	你聽有無？	lí thiaⁿ-ū-bô?
26	I understand	我聽有	góa thiaⁿ-ū
27	I don't understand	我聽無	góa thiaⁿ-bô
28	I don't know	我毋知影	góa m̄ chai-iáⁿ
29	Please speak more slowly	請講閣較慢	chhiaⁿ kóng koh khah bān
30	Please say that again	請閣講一擺	chhiáⁿ koh-kóng chi̍t-pái
31	Please write it down	請寫起來	chhìa sía khí lâi
32	Do you speak Taiwanese?	你會曉講台語無?	lí ē-hiáu kóng tâi-gí bô
33	Yes, a little	會曉, 一屑仔	ē-hiáu, chi̍t-sut-á
34	How do you say ... in Taiwanese?	台語啥物講?	tâi-gí sáⁿ-mih kóng?
35	How much is this?	偌濟錢？	lōa-chē chîⁿ?
36	Sorry	失禮	sit-lé
37	Please	請	chhiáⁿ
38	Thank you	多謝	to-siā
39	You're welcome	免客氣	bián kheh-khì
40	Where's the toilet?	便所佇佗位？	piān-so tī tó-ūi?
41	This gentleman will pay for everything	這位先生欲請你	chit-ūi sian-seⁿ beh chhiáⁿ lì
42	This lady will pay for everything	這位女士欲請你	chit-ūi lí-sū beh chhiáⁿ lì
43	Would you like to dance with me?	你愛欲和我跳舞無？	lì ài-beh hām góa thiàu-bú bô?
44	I miss you	我真數念你	góa chin siàu-liām lì
45	I love you	我愛你	góa ài lì
46	Get well soon	趕緊恢復	kóaⁿ kín hoe ho̍k
47	Go away!	去！	khì!
48	Leave me alone!	莫關我！	mài koan góa!
49	Help!	救命！	kiù-miā!
50	Fire!	火！	hóe!
51	Stop!	停！	thêng!
52	Call the police!	叫警察!	kiò kéng-chhat
53	Merry Christmas	聖誕節快樂	sèng-tàn-chat khòai-lo̍k
54	Happy New Years	新年快樂	sin-nî khòai-lo̍k
55	Happy Chinese New Year	恭喜發財	kiong-hí hoat-châi
56	Happy Easter	復活節快樂	ho̍k-o̍ah-chat khòai-lo̍k
57	Happy Birthday	生日快樂	seng-ji̍t khòai-lo̍k
58	One language is never enough	一種語言永遠無夠	chi̍t-chéng gí-giân éng-óan bô-kàu
59	My hovercraft is full of eels	我的氣墊船充滿了鱸鰻	góa-ê khì-tiām-chûn chhiong-boán liáu lô͘-môa