id	source_origin	source_id	text_nan_poj	text_en	text_nan_tc	warning_text_nan_poj	warning_text_en	warning_text_nan_tc
1	wiki	1	Bu̍t-lí-ha̍k sī gián-kiù ùi quark kaù kah ú-tiū chéng-kô chū-jiân ê kho-ha̍k. Pau-hâm ú-tiū ê ki-pún sêng-hun sī siáⁿ? In ū siáⁿ-mih ki-pún saⁿ-chok-iōng? Chok-iōng ê kiat-kó siáⁿ khoán? Hiān-tāi bu̍t-lí-ha̍k ū-tang-sî-á khah chùn-būn lêng-liōng, ūn-tōng-liōng, tiān-hō, tông-ūi, ... chiah-ê sèng-chit ê tùi-thīn tēng-lu̍t kap pó-chûn tēng-lu̍t.	Particle physics is the study of quarks and their interactions in the formation of particles. What are the basic properties of particles? What are the basic interactions? What are the rules of interaction? Modern particle physics includes more comprehensive theories, including quantum mechanics, relativity, field theory, etc. ... as well as the latest explorations and developments of space and cosmology.			Not original	
2	wiki	2	"Lí-lūn bu̍t-lí kap si̍t-giām bu̍t-lí

Bu̍t-lí-ha̍k lāi, ū chi̍t-chióng khu-hun, sī pa̍t-chióng kho-ha̍k khah bô--ê. Chū 20 sè-kí khai-sí, bu̍t-lí-ha̍k ē-sái kóng chiām-chiām khu-hun chò lí-lūn bu̍t-lí kap si̍t-giām bu̍t-lí chit nn̄g-pêng."	"When it comes to theoretical physics and experimental physics

Physics, in particular, has a special challenge that is probably the most difficult among the eight sciences. Since the 20th century onwards, physics can silently challenge theoretical physics and experimental physics."			Not original	
3	wiki	3	Neuralink kong-si sī tsi̍t-king khai-huat si̍t-ji̍p-sik náu-ki kài-bīn (BCI) ê sîn-king ki-su̍t kong-si. Tsit-king kong-si ê tsóng-pōo khiā-tī California tsiu, iû Elon Musk kah iû 7-miâ kho-ha̍k-ka hām kang-tîng-su tsoo-sîng ê tshòng-sí thuân-tuī sóo tshòng-li̍p. Neuralink tī 2016-nî thui-tshut, pīng-tshiánn tī 2017-nî 3-gue̍h thâu-tsi̍t-pái kong-khai pò-tō.	Neuralink Corporation is a neurotechnology company that develops implantable brain–machine interface (BCI) technology. Headquartered in California, it was co-founded by Elon Musk and seven other scientists and engineers. Neuralink was established in 2016, and first publicly announced in March 2017.			Not original	
4	wiki	4	Tsū kong-si sîng-li̍p í-lâi, tsit-king kong-si phing-tshiánn tsiânn-tsē ê uì kok tāi-ha̍k lâi ê ti-miâ sîn-king kho-ha̍k-ka. Kàu 2019-nî 7-gue̍h, kong-si hi̍k-tik 1.58 ik bi-guân ê tsu-kim, pīng-tshiánn kòo-iōng 90-miâ ê guân-kang. Hit-tong-sî, Neuralink suan-pòo in tng-teh gián-kiù tsi̍t-tsióng "luī-sū ê tshâi-hông-tshia á" ê siat-pī, ē-tàng kā hui-siông iù ê suànn si̍t-ji̍p tuā-náu, pīng-tshiánn tián-sī tsi̍t-ê uì si̍t-giām-sik to̍k-tshú sìn-sit ê hē-thóng tuā-tsiah tshí-á thong-kuè 1,500 ê tiān-ki̍k. Neurallink pat ū-kè tī 2020-nî khai-sí tuì jîn-luī tsìn-hîng si̍t-giām; M̄-kuh āu--lâi kā tsit-ê ū-tshik sua-kàu 2023-nî.	Since the company's inception, it has recruited several high-profile neuroscientists from various universities. By July 2019, the company had received $158 million in funding, of which $100 million came from Musk and employed around 90 employees. At the same time, Neuralink has taken on the extremely ambitious task of developing "sewing machine-like" technology that can routinely implant thousands of electrodes in a subject's brain, which theoretically could allow humans to merge with artificial intelligence, and is a type of experimental surgical procedure used to treat serious neurological conditions like chronic seizures by embedding up to 1,500 electrodes. Neuralink also expects to start human trials in 2020, and to implant a functional device in paraplegic individuals as early as 2023.			Not original	
5	wiki	5	Ū tsi̍t-kuá-á sîn-king kho-ha̍k-ka kah tshut-pán-bu̍t, pau-kuat MIT ki-su̍t phîng-lūn, it-ti̍t teh phue-phîng Muskvkuan-î Neuralink ê kóng-huat, kóng ū tsi̍t-kuá-á ê ki-su̍t sîng-lo̍k sī "ko-tōo thui-tshik"	A neuroscience researcher and various MIT technology reviewers critically commented on Musk's Neuralink presentation, saying that certain scientific claims were "highly speculative".			Not original	
6	wiki	6	"Kong-si
Li̍k-sú
Neuralink tī 2016-nî iû Elon Musk kah tsi̍t-ê 7-miâ kho-ha̍k-ka hām kang-tîng-su tsoo-sîng ê tshòng-sí thuân-tuī tshòng-li̍p. Siōng-thâu-á phing-iōng ê thuân-tuī iû sîn-king kho-ha̍k, sing-bu̍t huà-ha̍k kah ke-khì-lâng ha̍k tíng-tíng líng-i̍k ê tsuan-ka sóo tsoo-sîng ê. "Neuralink" siong-piau tī 2017-nî 1-gue̍h uì Musk tsi-tsîng ê sóo-iú-tsiá tshiú-thâu lâi bē-tio̍h."	"Company
History
Neuralink was established in 2016 by Elon Musk and a team of seven scientists and engineers. The founding team includes experts in neuroscience, electronics, and robotics, among other fields. The "Neuralink" trademark was initially registered by Musk's name in January 2017 and was not disclosed until later."			Not original	
7	wiki	7	Tī 2017-nî 4-gue̍h,Neuralink suan-pòo Nurallink ê bo̍k-piau sī teh té-kî lāi tsè-tsō tī-liâu giâm-tiōng náu-pōo tsi̍k-pēnn ê siat-pī tsuè-tsiong ê bo̍k-piau sī jîn-luī tsing-kiông, ū-tang-sî-á kiò-tsò tshiau-jîn tsú-gī. Musk pat piáu-sī, i tuì tsit-ê siūnn-huat ê hìng-tshù pōo-hūn guân-tsū Iain M. Banks ê 10 pōo sió-suat hē-lia̍t "Bûn-huà" lāi-té sóo hi-kòo tang-tiong "sîn-king hue-pinn" ê kho-huàn kài-liām.	In April 2017, Neuralink announced that the purpose of the company is to integrate artificial intelligence into the human brain to prevent being overtaken by artificial intelligence in the future. Musk suggested, he was inspired by Iain M. Banks's "Culture" series of 10 books to address the potential for "neural laces" to merge humans with artificial intelligence.			Not original	
8	wiki	8	Musk kā sîn-king hē-tuà tīng-gī tsò "phuê-tsit tíng-kuân ê sòo-uī tsân", tse bô-it-tīng ì-bī tio̍h kóng-huàn ê tshiú-su̍t tshah-ji̍p, m̄-kuh lí-sióng tsîng-hóng tsi-hā sī thong-kuè tsīng-me̍h hi̍k-tsiá tōng-me̍h si̍t-ji̍p. Musk kóng, tn̂g-kî bo̍k-piau sī si̍t-hiān "kah jîn-kang tì-lîng ê kiōng-sing". Musk jīn-uî, ná bô lâi-kā khòng-tsè, jîn-kang tì-lîng tio̍h-beh tuì jîn-luī kòo-sîng sing-tsûn ui-hia̍p. Musk jīn-uî tsit-ê siat-pī kā "luī-sū sī-pîn sńg-ī, tō tshin-tshiūnn pó-tsûn ê sńg-ī tsîng-hóng, tsū-án-ne lín tō ē-tàngteh kî-tiong hue-ho̍k hām siōng-thuân lín ê tsuè-āu tsōng-thài" kah "kái-kuat náu sún-siong hi̍k-tsiá liông-kut sún-siong pīng-tshiánn mí-póo bóo-mí-lâng sit-khì jīm-hô lîng-li̍k ê tsi̍t-ê sîn-king liân-kiat tsing-phìnn".	Musk considers the integration of AI into the human brain as a critical step to "avoid becoming pets or dinosaurs", in regard to the rapid development of artificial intelligence. Without such integration, Musk fears that humans will be fundamentally left behind in the face of AI's development. Musk argued that the company's initial goal is to assist those with severe brain injuries. He is concerned if there is no movement towards this direction, artificial intelligence will likely advance in a way that overwhelms human capabilities. Musk believes that this technology will offer a "layer of cortical interface that would love and understand you" and "improve the neural link between your brain and your digital self, allowing humans to better keep up with AI".			Not original	
9	wiki	9	Tē-jī-chhù Sè-kài Tāi-chiàn sī 1939 nî kàu 1945 nî, Tông-bêng-kok kap Chhia-sim-kok chi-kan ê choân-kiû chiàn-cheng, sī jîn-lūi le̍k-sú chêng kah taⁿ kui-bô͘ siōng kài tōa, phò-hāi siōng chīn-pōng, sí-siong siōng kài chhi-chhám ê sî-kî. Tng jia̍t ê sî, bat khan-siap tio̍h 70 thóng ê kok-ka. Lio̍k-hái-khong to ū teh kau-chiàn, bóe-chhiú ê sí-bông jîn-sò͘ khah-chē 6-chheng-bān lâng. Tông-bêng-kun chiàn iâⁿ.	World War II, which happened from 1939 to 1945, was a global war involving many of the world's countries, and it is the most widespread war in history, with the greatest number of casualties and the broadest destruction. During that time, more than 70 nations were involved. It resulted in significant casualties, with an estimated death toll of more than 60 million people. The Allies won the war.			Not original	
10	wiki	10	Jī-chhù Tāi-chiàn kî-tiong, Ji̍t-pún hoat-khí ê chhim-lio̍k mā kiò Tāi Tang-a Chiàn-cheng; Ji̍t-pún tī ê Thài-pêng-iûⁿ ê chiàn-tiûⁿ mā kiò Thài-pêng-iûⁿ Chiàn-cheng.	In the context of World War II, the Japanese military operations are also called the Pacific War; Japanese battles in Southeast Asia are referred to as the Southeast Asian War.			Not original	
11	wiki	11	Hoat-lu̍t sī lâng tī siā-hoē iah kok-ka lāi-té hō͘ lâng siūⁿ-chò tio̍h sūn-thàn ê ū hē-thóng ê kui-chek. Su-hoat kap kéng-chhat chip-hêng chiah-ê kui-chek, mā chhú-hoa̍t ûi-hoán hoat-lu̍t ê lâng, chhú-hoa̍t ê chhiú-lō͘ pí-lūn hoa̍t-kim iah koaiⁿ-kaⁿ téng-téng. Tī kó͘-chá sî-tāi, hoat-lu̍t sù-siông sī thâu-lâng só͘ chè-tēng--ê, lâi chè-hâng lâng tio̍h án-choáⁿ seng-hoa̍t, choh-sit kap chò seng-lí. Hiān-chhú-sî toā-to-sò͘ ê kok-ka--ni̍h, hoat-lu̍t sī li̍p-hoat ki-kò͘ lāi-bīn siū soán-kí--chhut-lâi ê chèng-tī jîn-bu̍t chè-tēng kap tâu-phiò thong-koè--ê khah chē.	The rule of law is a principle that all countries use to allow people to understand their rights within a certain system. Constitutional and legal processes, as well as people involved in the rule of law, are subjected to the same criticism and investigations. In most modern societies, the rule of law is seen as a higher ethical standard, dictating people's actions, thoughts and relationships. In most contemporary societies nowadays, the rule of law is an important mechanism to balance power and to regulate the most fair and transparent conflicts.			Not original	
12	wiki	12	Hoat-lu̍t ê kū-thé khoán-sek tō sī hoat-lu̍t tiâu-bûn, i ê loē-iông pau-koat kéng-chhat, hoat-īⁿ kap chhú-hoa̍t ê hong-sek. Lu̍t-su sī gián-kiù kap ūi pī-kò piān-hō͘ ê choan-gia̍p jîn-oân.	The foundation of the rule of law is essentially the rule of law itself, its applications encompass constitution, legislation, and civil rights. Legislation is a tool designed to enable and facilitate social harmony.			Not original	
13	wiki	13	Thàu-koè su-hoat ki-kò͘ kā hoat-lu̍t chip-hêng, thang chè-hān chèng-hú kan-taⁿ ē-tàng tī i kap jîn-bîn só͘ iok-sok ê hoān-ûi lāi sú-iōng koân-le̍k, che tō hō-chò "hoat-tī". Chèng-hú ê koân-le̍k chú-iàu siū hiàn-hoat ê sok-pok. Hoat-tī thang phiah-bián to̍k-chhâi, mā pó-hō͘ jîn-bîn ê koân-lī. Se-goân-chêng 350 nî Hi-lia̍p tiat-ha̍k-ka Aristotle bat siá-kóng: "Hoat-tī khah hó-koè jīn-hô kò-jîn ê thóng-tī."	Constitutional processes put the rule of law into practice, allowing an environment in which everyone can exercise their rights within a legal context, often referred to as "legal land". These rights are usually manifest in written law. Legal land can protect the weak, but also uphold the public interest. As far back as 350 BC, the Greek scholar Aristotle stated: "Better for the state to be governed by laws than by humans."			Not original	
14	wiki	14	Bûn-hoà tiāⁿ-tiāⁿ sī chē-chē hoat-lu̍t goân-chek ê chú-iàu lâi-goân, chhin-chhiūⁿ ka-têng koan-liām, kap siā-hoē koàn-sì, lóng ē éng-hióng hoat-lu̍t ê kui-tēng. Lēng-goā tī chin chē kok-ka, chong-kàu kap chong-kàu chheh pí-lūn Vedas, Sèng-keng iah Koran mā bat sī hoat-lu̍t loē-iông iàu-kín ê lâi-goân.	Literature is often seen as a precursor to the rule of law, closely associated with moral standards, and related to the discussion of fairness, all of which will reflect the spirit of the rule of law. Additionally, in some countries, religious texts including Vedas, Bible or the Quran can also be seen as sources containing legal concepts.			Not original	
15	wiki	15	"Hoat-lu̍t ê lūi-hêng
Sêng-bûn-hoat kap bô-sêng-bûn-hoat
Sêng-bûn-hoat sī tī taⁿ toā-to-sò͘ kok-ka só͘ sú-iōng ê su-hoat hē-thóng, i sī ēng kin-kì hiàn-hoat só͘ chè-tēng ê hoat-lu̍t tiâu-bûn, iah-sī chèng-hú kong-pó͘ ê kui-tēng, lâi chò ki-chhó͘. Sêng-bûn-hoat koh ū 1 ê pō͘-hūn, sī kin-kì koàn-sì ê hoat-lu̍t thêng-sū. Tī chhái-chhú sêng-bûn-hoat ê kok-ka lāi-té, hoat-koaⁿ it-poaⁿ-tek bô hiah toā ê koân, toā-pō͘-hūn ê hoat-lu̍t kap phoàⁿ-lē lóng sī kok-hoē gī-oân só͘ chò--ê."	"The essence of the rule of law
Common law and civil law
Common law is a legal system used in many large countries, it is a principle of law that emphasizes the demonstration of justice, or the spirit of the law, to resolve disputes. Common law also has a principle, which is the legal precedent. In countries that use common law, law firms have a relatively small role, the main part of the law and its interpretation is often decided by the judiciary."			Not original	
16	wiki	16	Bô-sêng-bûn-hoat sī ēng éng-koè hoat-koaⁿ só͘ phoàⁿ-koat ê kiat-kó chò ki-chhó͘ ê hēng-thóng. I ê goân-thâu tī England, koh taⁿ tī chē-chē Tāi-eng Tè-kok í-chá ê léng-thó͘ kap si̍t-bîn-tē mā ū chhái-iōng. I kāng-sī mā sī Bí-kok siōng chú-iàu ê hoat-lu̍t hêng-sek, sui-bóng Bí-kok kok-hoē ū thong-koè chē-chē hoat-àn, m̄-koh ū koh khah chē ê hoat-lu̍t kui-tēng sī in-ūi í-chá hoat-têng ê phoàⁿ-koat.	Civil law is a system that uses written laws as the main method to resolve disputes. Its origin is in England, but it is also widely used in most European countries and developed countries. It is also the most common legal system in the United States, although the US government has jurisdictions of common law, but the more common legal spirit is due to the use of written law.			Not original	
17	wiki	17	Bô-sêng-bûn-hoat tī Tiong-sè-kí tō ū--a, goân-khí-thâu sī John Kok-ông hō͘ kùi-cho̍k kiông-pek chhiam-sú ê Tāi-hiàn-chiuⁿ.	Civil law also exists in China, its earliest inception was when John Cockburn introduced it to Taiwan during the colonial period.			Not original	
18	wiki	18	"Chong-kàu hoat-lu̍t
Chong-kàu hoat-lu̍t sī kin-kì chong-kàu sìn-gióng iah chong-kàu chheh ê hoat-lu̍t. Pí-lūn Iû-thài-kàu ê Halakha, Islam ê Sharia, kap Ki-tok-kàu ê Kàu-hoē-hoat. It-ti̍t kah 18 sè-kí, Sharia lóng iáu sī Islam sè-kài ê chú-iàu hoat-lu̍t hē-thóng. Tī chhin-chhiūⁿ Saud ê A-la-pek kap Iran, in kok kui-ê hoat-lu̍t hē-thóng ki-pún-tek tō sī chhú Sharia chò kin-té--ê."	"Religious law
Religious law is legal processing based on religious doctrine or religious law. Examples include Jewish Halakha, Islamic Sharia, and Christian Canon Law. Until the 18th century, Sharia was a predominant legal system in the Islamic world. In countries such as Saudi Arabia and Iran, their legal systems are fundamentally based on Sharia."			Not original	
19	wiki	19	Chong-kàu hoat-lu̍t tùi chi̍t-koá hui-chong-kàu hoat--ni̍h ê khin-choē tiāⁿ-tiāⁿ ū chin khò͘-hêng ê chhú-hoa̍t, tùi hū-lú kap chió-sò͘ cho̍k-kûn ū khah put-lī.	Religious law from a specific religion usually has very strict norms, and often has more restrictions from certain perspectives and fields.			Not original	
20	wiki	20	Jîn-kôan, kán-tan kóng, sī lán lâng chêng chhut-sì to̍h ū, sī chū-jiân kôan-lī. Àn-chiàu Chū-jiân-hoat ê kái-soeh, jîn-kôan sī só·-ū ê lâng lóng ū, bōe-tàng thâi sak tàn-tiāu ê kôan-lī. Chi-chhî chit-chióng koan-tiám ê lâng, jīn-ûi chū-iû kah ûi-chhî ha̍p-lí ê seng-o̍ah phín-chit, sī chò-lâng ê ki-pún tiâu-kiāⁿ.	Human rights, strictly speaking, are what we have from birth, they are inherent rights. According to the Universal Declaration, human rights are something that every person has, and they cannot be taken away under any circumstances. Therefore, people who violate this principle, because of their negligence and disregard for human values, are the essence of disgrace.			Not original	
21	wiki	21	Lán kóng ká-sú ū chi̍t-chióng kôan-lī sī bē-tit chhú-siau he̍k-chiá the̍h-tiāu ê, án-ne che to̍h-sī leh kóng chit-chióng kôan-lī bōe-sái hō· lâng the̍h-lâi si-sià, the̍h-lâi bé-bē, i bô su-iàu siū lâng phoe-chún, mā bô lâng ē-tàng hān-chè. Khó-pí-kóng, chi̍t-ê lâng bē-sái kā ka-kī bē hō· lâng chò lô·, in-ūi bô lâng ū kôan án-ne chò, pau-koah i pun-sin.	We are saying that there is a right that cannot be compromised, that is our inherent dignity. Therefore, no one can take this right away, take it as a bargain, use it to threaten someone or exchange it. It is not something that anyone can manipulate, and nobody can violate it. In other words, a person should not be treated as a tool by others, because nobody has the right to do so, especially not him/her.			Not original	
22	wiki	22	Nā beh kóng kôan-lī pun-sin sī chi̍t-ê hōan-ûi chin khoah ê khài-liām, án-ne, kôan-lī to̍h ū pah-pah-chióng, múi-chi̍t-chióng kôan-lī ê sèng-chit kah lōe-hâm hōan-sè to̍h bô kāng-khóan. Ū-ê lâng jīn-ûi it-chhè kôan-lī lóng sī bōe-tàng jîn-ûi lâi kā i chhú-siau a̍h-sī tàn-tiāu, put-jî-kò mā ū-lâng bô tông-ì chit-chióng koan-tiám, in jīn-ûi pēng m̄-sī só·-ū ê kôan-lī lóng bē-sái khì kā chhú-siau. Chū kó·-chá kàu-kah chit-chūn, bô-kâng koan-tiám ê phái-pia̍t to̍h sī án-ne put-tōan teh sio-chèⁿ ,ti̍t-ti̍t leh lí-lūn.	If we talk about the essence of human rights, it's a very broad concept. That is, there are various aspects of human rights, and every aspect of human rights is interconnected and inseparable from each other. Any attempt to violate or infringe upon any one of these rights is unacceptable. Not to mention that there is no consensus on this topic, however, because any existing human rights cannot be violated. This leads to endless debates and discussions on this complex and holistic subject.			Not original	
23	wiki	23	Chóng--sī, ū-ê kôan-lī, tī it-poaⁿ chèng-siông ê chêng-hóng chi-hā sī sîn-sèng put-khó chhim-hōan ê. Pí-lūn seng-chûn-kôan, khí-sò·-kôan, m̄ chò lâng lô·-lē ê kôan-lī, m̄ hông phiⁿ ê kôan-lī, m̄ siū lâng lêng-tî (lêng-tī) ê kôan-lī.	In fact, having rights, in an ideal sense, is sacred and inviolable. These include the right to life, freedom of speech, the right not to be treated as a tool, the right not to be harmed, and the right to privacy.			Not original	
24	wiki	24	Sè-kài jîn-kôan soan-giân	Universal Declaration of Human Rights			Not original	
